type;time;latitude;longitude;altitude (m);sat;hdop;vdop;pdop;fix;name;desc;ageofdgpsdata;dgpsid;point_type
T;2017-09-26 16:08:57;47.404262830;15.887244739;743.8;3;3.1;1.00;3.22;3d;rss17_2017-09-26;Export from GpsPrune;0;0;TIME,DISTANCE
T;2017-09-26 16:09:00;47.404111521;15.887394737;768.4;7;1.1;0.84;1.40;3d;;;0;0;DISTANCE
T;2017-09-26 16:09:01;47.404036989;15.887463342;780.7;7;1.1;0.84;1.40;3d;;;0;0;SPEED
T;2017-09-26 16:09:02;47.403982576;15.887475046;789.4;8;1.1;0.82;1.35;3d;;;0;0;SPEED
T;2017-09-26 16:09:03;47.404210309;15.887346539;747.8;7;1.6;0.91;1.80;3d;;;0;0;SPEED,DISTANCE
T;2017-09-26 16:09:04;47.404200197;15.887361075;749.7;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:05;47.404213278;15.887366130;748.5;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:07;47.404241165;15.887337082;737.7;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:08;47.404269002;15.887360142;731.2;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:09;47.404281805;15.887370818;727.7;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:19;47.404313319;15.887377206;724.8;6;2.3;2.63;3.49;3d;;;0;0;TIME
T;2017-09-26 16:09:29;47.404309406;15.887369430;722.8;6;1.7;0.93;1.96;3d;;;0;0;TIME
T;2017-09-26 16:09:39;47.404406452;15.887340637;720.0;7;1.8;0.95;2.07;3d;;;0;0;TIME,SPEED
T;2017-09-26 16:09:41;47.404454262;15.887317344;715.3;7;1.7;0.93;1.96;3d;;;0;0;SPEED
T;2017-09-26 16:09:42;47.404424135;15.887317914;715.7;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:43;47.404410225;15.887315949;715.6;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:53;47.404410563;15.887307704;713.6;7;5.0;0.95;5.12;3d;;;0;0;TIME
T;2017-09-26 16:10:02;47.404329305;15.887348016;712.8;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:04;47.404340044;15.887359689;712.9;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:05;47.404328212;15.887352186;713.0;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:06;47.404317467;15.887346018;713.1;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:07;47.404307071;15.887338599;713.1;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:08;47.404296041;15.887332269;713.1;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:18;47.404272853;15.887330722;713.8;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:10:28;47.404249062;15.887327065;714.6;7;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:10:38;47.404239087;15.887328291;714.6;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:10:48;47.404240681;15.887314829;714.4;8;1.9;2.17;2.87;3d;;;0;0;TIME
T;2017-09-26 16:10:58;47.404244972;15.887315189;714.4;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:11:08;47.404254469;15.887315652;714.4;8;1.9;2.17;2.87;3d;;;0;0;TIME
T;2017-09-26 16:11:18;47.404256058;15.887315610;714.3;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:11:28;47.404257475;15.887314048;714.3;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:11:38;47.404256794;15.887317693;714.2;8;1.1;0.82;1.34;3d;;;0;0;TIME
T;2017-09-26 16:11:42;47.404260415;15.887329623;714.2;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:43;47.404265956;15.887332176;714.2;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:44;47.404271368;15.887331600;714.3;8;1.1;1.42;1.77;3d;;;0;0;SPEED
T;2017-09-26 16:11:46;47.404277776;15.887329483;715.1;8;1.1;1.42;1.78;3d;;;0;0;SPEED
T;2017-09-26 16:11:47;47.404284219;15.887332638;715.2;8;1.1;1.42;1.78;3d;;;0;0;SPEED
T;2017-09-26 16:11:48;47.404293982;15.887335205;715.4;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:49;47.404300745;15.887339823;715.5;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:50;47.404305693;15.887340462;715.4;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:51;47.404312773;15.887344462;715.1;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:52;47.404323397;15.887350329;714.8;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:53;47.404335222;15.887353587;714.6;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:55;47.404350279;15.887350807;715.1;8;1.1;1.42;1.77;3d;;;0;0;SPEED
T;2017-09-26 16:11:56;47.404359514;15.887350152;715.1;7;1.2;1.45;1.86;3d;;;0;0;SPEED
T;2017-09-26 16:11:57;47.404373223;15.887346960;715.1;7;1.2;0.82;1.43;3d;;;0;0;SPEED
T;2017-09-26 16:11:58;47.404386880;15.887346290;715.0;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:59;47.404399109;15.887348107;714.9;7;1.2;0.82;1.43;3d;;;0;0;SPEED
T;2017-09-26 16:12:00;47.404411467;15.887347918;715.0;7;1.1;1.54;1.90;3d;;;0;0;SPEED
T;2017-09-26 16:12:01;47.404422738;15.887346413;715.0;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:02;47.404433130;15.887347146;715.1;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:03;47.404443104;15.887349203;715.2;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:04;47.404453517;15.887349250;715.2;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:05;47.404461374;15.887349543;715.2;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:06;47.404471374;15.887353838;715.1;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:07;47.404479608;15.887356489;715.1;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:08;47.404492301;15.887350969;714.8;7;1.1;1.53;1.90;3d;;;0;0;SPEED
T;2017-09-26 16:12:09;47.404502829;15.887350437;714.8;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:10;47.404511287;15.887351348;714.7;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:11;47.404516724;15.887355547;714.6;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:12;47.404524315;15.887358320;714.4;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:13;47.404529581;15.887360280;714.3;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:14;47.404543361;15.887346622;714.3;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:15;47.404552864;15.887341435;714.2;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:16;47.404559670;15.887341006;714.2;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:17;47.404566903;15.887339367;714.1;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:18;47.404579074;15.887331886;714.1;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:19;47.404587489;15.887325001;714.2;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:20;47.404596407;15.887319860;714.0;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:12:21;47.404612458;15.887306623;713.3;8;1.1;1.41;1.77;3d;;;0;0;SPEED
T;2017-09-26 16:12:22;47.404623779;15.887301642;713.1;8;1.1;1.41;1.77;3d;;;0;0;SPEED
T;2017-09-26 16:12:23;47.404637784;15.887292781;712.9;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:24;47.404646100;15.887289051;712.6;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:25;47.404657113;15.887282196;712.1;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:26;47.404667633;15.887273832;712.6;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:27;47.404680035;15.887264952;712.6;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:28;47.404691016;15.887257486;712.1;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:29;47.404702087;15.887250662;711.9;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:12:30;47.404715616;15.887240132;711.6;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:31;47.404726954;15.887230592;711.5;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:12:32;47.404739714;15.887222869;711.4;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:33;47.404752000;15.887214690;711.3;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:34;47.404763586;15.887209075;711.1;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:35;47.404772167;15.887205475;710.6;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:36;47.404781523;15.887200738;710.3;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:37;47.404793605;15.887196372;709.8;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:38;47.404805350;15.887193691;709.6;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:39;47.404815135;15.887188805;709.5;8;1.1;1.41;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:40;47.404825636;15.887183432;709.4;8;1.1;0.81;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:12:41;47.404837669;15.887177743;709.4;8;1.1;0.81;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:12:42;47.404848557;15.887172958;709.2;8;1.1;0.81;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:12:43;47.404857100;15.887170318;708.9;8;1.1;1.41;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:44;47.404865905;15.887166107;708.4;8;1.1;1.41;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:45;47.404875146;15.887161825;707.9;8;1.1;0.81;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:12:46;47.404885367;15.887157284;707.7;8;1.1;1.41;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:47;47.404895221;15.887150829;707.6;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:48;47.404905726;15.887145458;707.7;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:49;47.404915874;15.887142203;707.3;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:50;47.404926535;15.887139098;706.9;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:51;47.404938228;15.887134114;707.1;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:52;47.404948732;15.887130760;706.8;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:53;47.404959138;15.887127786;706.4;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:54;47.404970194;15.887124333;706.2;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:55;47.404980440;15.887119950;706.2;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:56;47.404991581;15.887111812;706.5;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:57;47.405002366;15.887111932;706.1;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:58;47.405012010;15.887110415;705.7;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:12:59;47.405022402;15.887118249;704.4;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:13:00;47.405034354;15.887113170;704.4;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:13:01;47.405045986;15.887111257;704.1;7;1.8;1.75;2.48;3d;;;0;0;SPEED
T;2017-09-26 16:13:02;47.405056618;15.887110316;703.6;7;1.8;1.75;2.48;3d;;;0;0;SPEED
T;2017-09-26 16:13:03;47.405068150;15.887105079;703.4;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:13:04;47.405078891;15.887102559;703.1;7;1.8;1.75;2.48;3d;;;0;0;SPEED
T;2017-09-26 16:13:05;47.405090872;15.887101323;702.7;7;1.8;1.75;2.48;3d;;;0;0;SPEED
T;2017-09-26 16:13:06;47.405105196;15.887102148;702.3;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:13:07;47.405113299;15.887105955;701.8;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:13:08;47.405123171;15.887107992;701.4;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:13:09;47.405135866;15.887112144;701.2;8;1.1;0.81;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:13:10;47.405146524;15.887116420;700.7;7;1.6;0.87;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:13:11;47.405158106;15.887118760;700.6;7;1.8;1.75;2.48;3d;;;0;0;SPEED
T;2017-09-26 16:13:12;47.405167933;15.887123905;700.2;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:13;47.405179409;15.887127397;700.1;7;1.8;1.75;2.48;3d;;;0;0;SPEED
T;2017-09-26 16:13:14;47.405191797;15.887131106;699.8;8;1.1;1.40;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:15;47.405206618;15.887131329;699.8;8;1.1;1.40;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:16;47.405220597;15.887127475;699.8;8;1.1;1.40;1.76;3d;;;0;0;SPEED
T;2017-09-26 16:13:17;47.405229976;15.887130596;699.8;7;1.1;1.52;1.88;3d;;;0;0;SPEED
T;2017-09-26 16:13:18;47.405238760;15.887134182;699.9;7;1.1;1.52;1.88;3d;;;0;0;SPEED
T;2017-09-26 16:13:19;47.405250725;15.887135438;699.9;7;1.1;1.51;1.88;3d;;;0;0;SPEED
T;2017-09-26 16:13:20;47.405262708;15.887137139;699.8;7;1.8;1.74;2.47;3d;;;0;0;SPEED
T;2017-09-26 16:13:21;47.405276316;15.887137358;699.8;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:22;47.405288802;15.887138073;699.8;8;1.1;1.40;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:23;47.405301254;15.887140165;699.8;8;1.1;1.40;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:24;47.405314623;15.887145803;699.9;8;1.1;1.40;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:25;47.405326117;15.887152909;700.0;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:29;47.405339694;15.887166126;699.9;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:32;47.405362262;15.887172335;700.3;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:33;47.405373161;15.887174061;700.1;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:34;47.405381016;15.887171683;700.7;7;1.1;1.51;1.87;3d;;;0;0;SPEED
T;2017-09-26 16:13:35;47.405389891;15.887168177;701.2;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:36;47.405402816;15.887167144;702.0;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:37;47.405416471;15.887163662;702.7;7;1.1;1.51;1.87;3d;;;0;0;SPEED
T;2017-09-26 16:13:38;47.405428483;15.887160439;703.1;7;1.1;1.51;1.87;3d;;;0;0;SPEED
T;2017-09-26 16:13:39;47.405440029;15.887164952;702.7;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:40;47.405449770;15.887166980;703.0;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:41;47.405463326;15.887162962;703.2;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:42;47.405479177;15.887165299;703.4;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:43;47.405492674;15.887164906;703.4;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:44;47.405503998;15.887159902;703.3;7;1.1;1.51;1.87;3d;;;0;0;SPEED
T;2017-09-26 16:13:45;47.405515365;15.887155962;703.3;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:46;47.405525668;15.887158518;703.3;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:47;47.405536914;15.887160233;703.5;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:48;47.405548841;15.887156260;703.8;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:49;47.405564366;15.887149831;704.0;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:50;47.405580284;15.887143130;704.2;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:51;47.405594857;15.887139933;704.3;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:52;47.405617630;15.887137892;704.5;8;1.1;1.39;1.75;3d;;;0;0;SPEED
T;2017-09-26 16:13:53;47.405632456;15.887143675;704.5;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:54;47.405641529;15.887149316;704.5;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:55;47.405646709;15.887156507;704.4;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:56;47.405653247;15.887164014;704.6;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:13:57;47.405658144;15.887174498;704.9;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:02;47.405680672;15.887180844;706.0;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:03;47.405687124;15.887187345;706.2;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:05;47.405700380;15.887199009;706.6;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:08;47.405708946;15.887213486;706.5;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:09;47.405717810;15.887219176;706.3;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:10;47.405727329;15.887222053;706.2;9;0.9;1.38;1.67;3d;;;0;0;SPEED
T;2017-09-26 16:14:11;47.405732317;15.887228384;706.2;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:12;47.405735005;15.887238547;706.2;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:13;47.405736686;15.887248677;706.2;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:14;47.405744375;15.887257922;706.3;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:15;47.405749713;15.887266625;706.3;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:18;47.405764628;15.887278530;706.4;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:28;47.405760837;15.887272909;706.7;8;1.2;0.84;1.47;3d;;;0;0;TIME
T;2017-09-26 16:14:36;47.405750474;15.887311062;705.9;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:14:38;47.405736633;15.887323416;705.3;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:14:48;47.405726163;15.887349955;703.6;8;1.2;0.84;1.47;3d;;;0;0;TIME
T;2017-09-26 16:14:51;47.405731659;15.887357638;703.4;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:14:52;47.405735696;15.887367317;703.4;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:14:53;47.405738802;15.887376341;703.5;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:14:54;47.405740857;15.887385111;703.6;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:14:55;47.405741154;15.887398208;703.8;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:14:56;47.405739416;15.887407746;704.2;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:14:57;47.405739793;15.887417357;704.5;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:14:59;47.405739318;15.887433372;704.2;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:00;47.405739515;15.887442807;704.1;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:01;47.405741735;15.887457333;703.9;8;1.2;0.89;1.51;3d;;;0;0;SPEED
T;2017-09-26 16:15:02;47.405742979;15.887475003;704.0;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:03;47.405742805;15.887491780;704.1;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:04;47.405746133;15.887509151;704.2;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:05;47.405749956;15.887525436;704.3;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:06;47.405751110;15.887541629;704.5;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:07;47.405751417;15.887556874;704.6;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:08;47.405752839;15.887574261;704.7;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:09;47.405754125;15.887591310;704.6;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:10;47.405752985;15.887607890;704.7;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:11;47.405748239;15.887626295;704.8;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:15:12;47.405757335;15.887643724;704.6;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:13;47.405759837;15.887665574;704.2;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:14;47.405764621;15.887686639;703.9;8;1.1;0.81;1.33;3d;;;0;0;SPEED
T;2017-09-26 16:15:15;47.405766905;15.887709220;703.4;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:16;47.405777157;15.887733079;703.8;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:17;47.405782356;15.887756399;703.6;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:18;47.405791510;15.887776269;704.0;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:19;47.405802182;15.887793008;704.5;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:20;47.405812753;15.887809718;705.0;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:21;47.405823084;15.887821480;705.3;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:22;47.405834732;15.887827245;705.7;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:23;47.405846974;15.887834585;706.1;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:24;47.405855272;15.887846141;706.2;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:25;47.405864540;15.887855543;706.6;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:26;47.405868825;15.887866968;706.8;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:27;47.405875162;15.887877772;706.9;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:28;47.405885140;15.887887764;706.9;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:29;47.405907153;15.887889991;706.4;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:30;47.405930017;15.887886939;706.2;9;0.9;1.36;1.65;3d;;;0;0;SPEED
T;2017-09-26 16:15:31;47.405960867;15.887881267;705.8;9;0.9;1.36;1.65;3d;;;0;0;SPEED
T;2017-09-26 16:15:32;47.405974221;15.887893875;705.5;9;0.9;1.36;1.65;3d;;;0;0;SPEED
T;2017-09-26 16:15:36;47.405977592;15.887910022;705.2;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:37;47.405984065;15.887924857;704.8;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:38;47.405984539;15.887941981;704.6;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:39;47.405987758;15.887959666;704.6;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:40;47.405988594;15.887975213;704.7;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:41;47.405997954;15.887982401;704.8;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:42;47.406007206;15.888002298;704.3;9;0.9;0.81;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:43;47.406009352;15.888020840;703.9;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:44;47.406013887;15.888038791;703.7;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:45;47.406019005;15.888055138;703.8;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:46;47.406020508;15.888065370;703.9;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:47;47.406021997;15.888071738;703.7;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:48;47.406023290;15.888072545;704.3;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:49;47.406030615;15.888076942;704.5;9;0.9;0.80;1.23;3d;;;0;0;SPEED
T;2017-09-26 16:15:50;47.406034351;15.888089045;704.6;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:51;47.406040607;15.888095436;705.1;8;1.2;0.84;1.47;3d;;;0;0;SPEED
T;2017-09-26 16:15:52;47.406046993;15.888101861;705.2;8;1.2;0.84;1.47;3d;;;0;0;SPEED
